A175;PV;ALBUZZANO;;C7AE;PV;PV;PV00;018004;01/11/1872;;
A176;TP;ALCAMO;;U9AB;TP;TP;TP00;081001;17/03/1861;;
A177;ME;ALCARA LI FUSI;;U6AB;ME;ME;ME00;083001;01/01/1868;;
A178;TN;ALDENO;;E1AE;;;;022003;16/10/1920;;
A179;BZ;ALDINO;ALDEIN;E2AE;;;;021001;16/10/1920;;
A180;OR;ALES;;V4AE;OR;OR;OR00;095004;17/03/1861;;
A181;AG;ALESSANDRIA DELLA ROCCA;;U2AB;AG;AG;AG00;084002;19/01/1863;;
A182;AL;ALESSANDRIA;;A2AA;AL;AL;AL00;006003;17/03/1861;;
A183;CS;ALESSANDRIA DEL CARRETTO;;T3AI;CS;CS;CS00;078007;06/02/1863;;
A184;LE;ALESSANO;;R4AC;LE;LE;LE00;075002;17/03/1861;;
A185;LE;ALEZIO;;R4AD;LE;LE;LE00;075003;16/07/1873;;
A186;SA;ALFANO;;Q5AE;SA;SA;SA00;065004;17/03/1861;;
A187;AQ;ALFEDENA;;N1AD;AQ;AQ;AQ00;066003;17/03/1861;;
A188;BS;ALFIANELLO;;C3AG;BS;BS;BS00;017004;17/03/1861;;
A189;AL;ALFIANO NATTA;;A2AD;AL;AL;AL20;006004;16/02/1863;;
A191;RA;ALFONSINE;;H7AB;RA;RA;RA00;039001;17/03/1861;;
A192;SS;ALGHERO;;V3AD;SS;SS;SS00;090003;17/03/1861;;
A193;BG;ALGUA;;C2AG;BG;BG;BG00;016248;20/11/1927;;
A194;ME;ALI';;U6AC;ME;ME;ME00;083002;17/03/1861;;
A195;PA;ALIA;;U1AB;PA;PA;PA00;082001;17/03/1861;;
A196;MT;ALIANO;;S2AC;MT;MT;MT00;077002;17/03/1861;;
A197;AL;ALICE BEL COLLE;;A2AE;AL;AL;AL10;006005;16/02/1863;;
A198;VC;ALICE CASTELLO;;A6AF;VC;VC;VC00;002004;29/12/1862;;
A200;CE;ALIFE;;Q4AE;CE;CE;CE00;061002;17/03/1861;;
A201;ME;ALI' TERME;;U6AD;ME;ME;ME00;083003;26/07/1910;;
A202;PA;ALIMENA;;U1AC;PA;PA;PA00;082002;17/03/1861;;
A203;PA;ALIMINUSA;;U1AD;PA;PA;PA00;082003;17/03/1861;;
A204;OR;ALLAI;;V4AF;OR;OR;OR00;095005;17/03/1861;;
A205;AO;ALLEIN;;B1AD;AO;AO;AO00;007001;17/03/1861;;
A206;BL;ALLEGHE;;D2AD;BL;BL;BL00;025003;19/11/1866;;
A207;TR;ALLERONA;;L2AC;TR;TR;TR00;055002;22/07/1887;;
A208;LE;ALLISTE;;R4AE;LE;LE;LE00;075004;17/03/1861;;
A210;RM;ALLUMIERE;;M1AE;RM;RM;RM40;058004;15/01/1871;;
A214;BG;ALME';;C2AH;BG;BG;BG00;016005;17/03/1861;;
A215;BG;VILLA D'ALME';;C2AI;BG;BG;BG00;016239;15/01/1885;;
A216;BG;ALMENNO SAN BARTOLOMEO;;C2AJ;BG;BG;BG00;016006;17/03/1861;;
